"Date","License Plate","Description","Camera","Site"
"11/04/2025 10:38:55 AM UTC","LG72DWF","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:37:03 AM UTC","BU20Y5T","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:34:52 AM UTC","BN65RJU","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:34:34 AM UTC","J20JSD","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:31:48 AM UTC","LG72DUH","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:31:31 AM UTC","B2A0G","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:27:59 AM UTC","AF65JZM","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:27:21 AM UTC","LG72DXD","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:26:40 AM UTC","BK64WVA","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:25:50 AM UTC","BA19YRN","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:25:19 AM UTC","CV74VCF","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:22:26 AM UTC","LG72DXV","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:20:38 AM UTC","LL15UHT","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:19:46 AM UTC","BR18FJE","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:18:25 AM UTC","LG72DSZ","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:17:19 AM UTC","EM21LES","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:16:34 AM UTC","EK70WVZ","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:15:46 AM UTC","LG22BBK","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:14:25 AM UTC","LG22BCK","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:13:29 AM UTC","SK74BFL","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:11:13 AM UTC","NK17VVF","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:08:50 AM UTC","KM25FWR","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:08:42 AM UTC","KN74ZKS","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:01:40 AM UTC","PF100FV","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 10:00:16 AM UTC","KXC77MY","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 09:59:31 AM UTC","LD20PUA","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 09:57:42 AM UTC","EY18NFP","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 09:57:09 AM UTC","H24GUL","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 09:57:06 AM UTC","FA16MXV","","CB52-E · N46G-4DC6-6QDK","Coventry"
"11/04/2025 09:54:12 AM UTC","VF21UWJ","","CB52-E · N46G-4DC6-6QDK","Coventry"
