Date,License Plate,Description,Camera,Site,Cleaned License Plate,Validation Reason,Make,Type Approval,Lookup Status,Lookup Status Code
11/04/2025 10:32:21 AM UTC,ML12FDA,,CB52-E Bullet Camera,Coventry,ML12FDA,Valid UK current registration format,LONDON TAXIS INT,M1,Success,0
11/04/2025 10:31:56 AM UTC,NI0LTE,,CB52-E Bullet Camera,Coventry,NI0LTE,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/04/2025 10:31:35 AM UTC,B2A0G,,CB52-E Bullet Camera,Coventry,B2A0G,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/04/2025 10:28:04 AM UTC,AF65JZM,,CB52-E Bullet Camera,Coventry,AF65JZM,Valid UK current registration format,TOYOTA,M1,Success,0
11/04/2025 10:25:25 AM UTC,CV74VCF,,CB52-E Bullet Camera,Coventry,CV74VCF,Valid UK current registration format,FIAT,N1,Success,0
11/04/2025 10:24:53 AM UTC,R024WFP,,CB52-E Bullet Camera,Coventry,R024WFP,Valid UK prefix registration format,,,NoResultsFound,2
11/04/2025 10:20:42 AM UTC,LL15UHT,,CB52-E Bullet Camera,Coventry,LL15UHT,Valid UK current registration format,MERCEDES-BENZ,M1,Success,0
11/04/2025 10:16:56 AM UTC,BV24FWM,,CB52-E Bullet Camera,Coventry,BV24FWM,Valid UK current registration format,LAND ROVER,M1,Success,0
11/04/2025 10:16:38 AM UTC,EK70WVZ,,CB52-E Bullet Camera,Coventry,EK70WVZ,Valid UK current registration format,HYUNDAI,M1,Success,0
11/04/2025 10:08:47 AM UTC,KN74ZKS,,CB52-E Bullet Camera,Coventry,KN74ZKS,Valid UK current registration format,VAUXHALL,N1,Success,0
11/04/2025 10:04:40 AM UTC,KN66CEX,,CB52-E Bullet Camera,Coventry,KN66CEX,Valid UK current registration format,MERCEDES-BENZ,N2,Success,0
11/04/2025 10:02:08 AM UTC,LF24V0J,,CB52-E Bullet Camera,Coventry,LF24V0J,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/04/2025 09:50:12 AM UTC,ND74KLK,,CB52-E Bullet Camera,Coventry,ND74KLK,Valid UK current registration format,VOLKSWAGEN,M1,Success,0
11/04/2025 09:50:06 AM UTC,WU72MLL,,CB52-E Bullet Camera,Coventry,WU72MLL,Valid UK current registration format,AUDI,M1,Success,0
11/04/2025 09:47:06 AM UTC,DX74ZFC,,CB52-E Bullet Camera,Coventry,DX74ZFC,Valid UK current registration format,SKODA,M1,Success,0
11/04/2025 09:41:36 AM UTC,BP21WGU,,CB52-E Bullet Camera,Coventry,BP21WGU,Valid UK current registration format,VAUXHALL,M1,Success,0
11/04/2025 09:41:28 AM UTC,BC18AEU,,CB52-E Bullet Camera,Coventry,BC18AEU,Valid UK current registration format,IVECO,N1,Success,0
11/04/2025 09:39:59 AM UTC,0Y64EUJ,,CB52-E Bullet Camera,Coventry,0Y64EUJ,"Starts with zero, likely OCR confusion",,,Skipped before API,PRE_VALIDATION_FAILED
11/04/2025 09:36:25 AM UTC,LW15GGF,,CB52-E Bullet Camera,Coventry,LW15GGF,Valid UK current registration format,TOYOTA,,SuccessWithResultsBlockWarnings,1
11/04/2025 09:27:23 AM UTC,H20MHX,,CB52-E Bullet Camera,Coventry,H20MHX,Valid UK prefix registration format,FORD,N1,Success,0
